MR000	感应1-1	MF-697
MR001	感应1-2	MF-744
MR002	感应1-3	MF-745-1
MR003	感应1-4	MF-768
MR004	感应1-5	卡尺
MR005	感应1-6	
MR006	感应1-7	
MR007	感应1-8	MF-702
MR008	感应1-9	MF-Q013
MR009	感应1-10	MF-653
MR010	感应1-11	MF-Q017
MR011	感应1-12	
MR100	感应2-1	MF-704
MR101	感应2-2	MF-766
MR102	感应2-3	MF-652
MR103	感应2-4	MF-Q012
MR104	感应2-5	MF-703A
MR105	感应2-6	MF-705
MR106	感应2-7	MF-703B
MR107	感应2-8	MF-748
MR108	感应2-9	MF-1215-004
MR109	感应2-10	MF-544
MR110	感应2-11	MF-920
MR111	感应2-12	MF-919
MR112	感应2-13	MF-911
MR113	感应2-14	MF-913
MR114	感应2-15	MF-914
MR115	感应2-16	MF-902
MR200	感应2-17	MF-917-1
MR201	感应2-18	MF-910
MR202	感应2-19	MF-916
MR203	感应2-20	MF-921
MR300	感应3-1	MF-699-001
MR301	感应3-2	MF-701
MR302	感应3-3	MF-699-003
MR303	感应3-4	MF-915-2
MR304	感应3-5	MF-915-xx
MR305	感应3-6	
MR400	感应4-1	
MR401	感应4-2	
MR402	感应4-3	
MR403	感应4-4	
MR404	感应4-5	
MR405	感应4-6	
MR500	感应5-1	MF-904-2
MR501	感应5-2	MF-904-1
MR502	感应5-3	MF-694
MR503	感应5-4	
MR504	感应5-5	
MR505	感应5-6	
